Generation,Best fitness,Worst fitness,Average fitness
290,43.8,7.2,22.265306122448994
291,43.8,4.2,22.42551020408165
292,43.4,7.0,22.177551020408163
293,42.4,6.8,23.126530612244895
294,44.8,8.8,24.537755102040805
295,43.6,8.6,22.9908163265306
296,44.4,7.8,21.55714285714285
297,42.0,7.4,21.83775510204083
298,43.4,6.8,22.19897959183672
299,43.2,7.8,23.394897959183673
300,43.6,7.8,23.128571428571423
301,44.8,8.2,23.412244897959194
302,44.0,8.2,23.54999999999998
303,44.8,3.2,25.532653061224515
304,44.2,7.2,24.355102040816327
305,44.2,8.4,24.127551020408177
306,46.0,8.2,24.514285714285734
307,44.2,9.0,23.713265306122437
308,44.2,8.8,22.89897959183674
309,45.0,5.6,23.672448979591827
310,44.4,8.6,23.554081632653066
311,42.2,7.2,22.779591836734696
